,DB ID,Wrestler,Opponent,Second,Score,Action,Successful,Technique,Defense,Flag,Author,Status
0,950234,Eduard POPP,Abdellatif Mohamed Ahmed MOHAMED,04:18,1,Passivity,1,From passivity,0,,Sebine,Completed
1,950234,Eduard POPP,Abdellatif Mohamed Ahmed MOHAMED,04:07,2,Roll,1,Roll from parter,0,,Sebine,Completed
2,950234,Eduard POPP,Abdellatif Mohamed Ahmed MOHAMED,04:02,2,Roll,1,Roll from parter,0,,Sebine,Completed
3,950234,Eduard POPP,Abdellatif Mohamed Ahmed MOHAMED,03:55,2,Roll,1,Roll from parter,0,,Sebine,Completed
4,950234,Eduard POPP,Abdellatif Mohamed Ahmed MOHAMED,03:52,2,Roll,1,Roll from parter,0,,Sebine,Completed
5,951019,Mansur SHADUKAYEV,Abdellatif Mohamed Ahmed MOHAMED,05:47,0,Takedown,0,Headlock throw,1,,Sebine,Completed
6,951019,Abdellatif Mohamed Ahmed MOHAMED,Mansur SHADUKAYEV,05:45,2,Takedown,1,Bodylock,0,,Sebine,Completed
7,951019,Mansur SHADUKAYEV,Abdellatif Mohamed Ahmed MOHAMED,05:11,0,Takedown,0,Bodylock,1,,Sebine,Completed
8,951019,Abdellatif Mohamed Ahmed MOHAMED,Mansur SHADUKAYEV,05:03,4,Takedown,1,Takedown,0,,Sebine,Completed
9,951019,Abdellatif Mohamed Ahmed MOHAMED,Mansur SHADUKAYEV,04:50,1,Challange,1,Flag,0,1.0,Sebine,Completed
10,951019,Abdellatif Mohamed Ahmed MOHAMED,Mansur SHADUKAYEV,04:41,4,Takedown,1,Bodylock,0,,Sebine,Completed
11,951014,Abdellatif Mohamed Ahmed MOHAMED,Artur VITITIN,05:12,2,Penalty,1,Penalty,0,,Sebine,Completed
12,951014,Artur VITITIN,Abdellatif Mohamed Ahmed MOHAMED,04:50,0,Takedown,0,Arm spin,1,,Sebine,Completed
13,951014,Abdellatif Mohamed Ahmed MOHAMED,Artur VITITIN,04:42,2,To go behind,1,Arm drag,0,,Sebine,Completed
14,951014,Abdellatif Mohamed Ahmed MOHAMED,Artur VITITIN,04:15,2,To go behind,1,To go behind,0,,Sebine,Completed
15,951014,Abdellatif Mohamed Ahmed MOHAMED,Artur VITITIN,03:13,2,Takedown,1,Power half,0,1.0,Sebine,Completed
16,951007,Abdellatif Mohamed Ahmed MOHAMED,Jello KRAHMER,05:29,2,Takedown,1,Takedown,0,,Sebine,Completed
17,951007,Abdellatif Mohamed Ahmed MOHAMED,Jello KRAHMER,04:52,1,Passivity,1,From passivity,0,,Sebine,Completed
18,951007,Jello KRAHMER,Abdellatif Mohamed Ahmed MOHAMED,02:33,0,To go behind,0,Arm drag,1,,Sebine,Completed
19,951007,Jello KRAHMER,Abdellatif Mohamed Ahmed MOHAMED,02:19,1,Passivity,1,From passivity,0,,Sebine,Completed
20,951007,Jello KRAHMER,Abdellatif Mohamed Ahmed MOHAMED,00:35,0,To go behind,0,Arm drag,1,,Sebine,Completed
21,951003,Abdellatif Mohamed Ahmed MOHAMED,Osman YILDIRIM,04:45,1,Passivity,1,From passivity,0,,Sebine,Completed
22,951003,Osman YILDIRIM,Abdellatif Mohamed Ahmed MOHAMED,01:56,1,Passivity,1,From passivity,0,,Sebine,Completed
23,951003,Osman YILDIRIM,Abdellatif Mohamed Ahmed MOHAMED,01:43,2,Roll,1,Roll from parter,0,,Sebine,Completed
24,951003,Osman YILDIRIM,Abdellatif Mohamed Ahmed MOHAMED,01:37,2,Roll,1,Roll from parter,0,,Sebine,Completed
25,950998,Abdellatif Mohamed Ahmed MOHAMED,Oskar MARVIK,04:51,1,Protection zone,1,From passivity,0,,Sebine,Completed
26,950998,Abdellatif Mohamed Ahmed MOHAMED,Oskar MARVIK,04:20,1,Passivity,1,From passivity,0,,Sebine,Completed
27,950998,Abdellatif Mohamed Ahmed MOHAMED,Oskar MARVIK,03:19,0,To go behind,0,Arm drag,1,,Sebine,Completed
28,950998,Oskar MARVIK,Abdellatif Mohamed Ahmed MOHAMED,02:00,1,Passivity,1,From passivity,0,,Sebine,Completed
29,952258,Abdellatif Mohamed Ahmed MOHAMED,Arata SONODA,04:43,0,Takedown,0,Arm throw,1,,Sebine,Completed
30,952258,Arata SONODA,Abdellatif Mohamed Ahmed MOHAMED,04:42,1,Passivity,1,From passivity,0,,Sebine,Completed
31,952258,Arata SONODA,Abdellatif Mohamed Ahmed MOHAMED,04:38,2,Roll,1,Roll from parter,0,,Sebine,Completed
32,952258,Abdellatif Mohamed Ahmed MOHAMED,Arata SONODA,04:06,0,Takedown,0,Arm throw,1,,Sebine,Completed
33,952258,Abdellatif Mohamed Ahmed MOHAMED,Arata SONODA,03:39,0,Takedown,0,Takedown,1,,Sebine,Completed
34,952258,Arata SONODA,Abdellatif Mohamed Ahmed MOHAMED,03:38,0,To go behind,0,To go behind,1,,Sebine,Completed
35,952258,Abdellatif Mohamed Ahmed MOHAMED,Arata SONODA,03:36,2,Penalty,1,Penalty,0,,Sebine,Completed
36,952258,Abdellatif Mohamed Ahmed MOHAMED,Arata SONODA,03:36,1,Challange,1,Flag,0,1.0,Sebine,Completed
37,952258,Abdellatif Mohamed Ahmed MOHAMED,Arata SONODA,02:14,1,Passivity,1,From passivity,0,,Sebine,Completed
38,952258,Abdellatif Mohamed Ahmed MOHAMED,Arata SONODA,02:01,2,Roll,1,Roll from parter,0,,Sebine,Completed
39,952258,Arata SONODA,Abdellatif Mohamed Ahmed MOHAMED,01:20,1,Protection zone,1,From passivity,0,,Sebine,Completed
40,952258,Arata SONODA,Abdellatif Mohamed Ahmed MOHAMED,00:23,2,Takedown,1,Bodylock,0,,Sebine,Completed
41,952255,Abdellatif Mohamed Ahmed MOHAMED,Luciano DEL RIO,05:23,4,Takedown,1,Lateral drop throw,0,,Sebine,Completed
42,952252,Miloslav Yuriev METODIEV,Abdellatif Mohamed Ahmed MOHAMED,04:32,1,Passivity,1,From passivity,0,,Sebine,Completed
43,952252,Miloslav Yuriev METODIEV,Abdellatif Mohamed Ahmed MOHAMED,04:25,2,Roll,1,Roll from parter,0,,Sebine,Completed
44,952252,Miloslav Yuriev METODIEV,Abdellatif Mohamed Ahmed MOHAMED,03:39,1,Protection zone,1,From passivity,0,,Sebine,Completed
45,952252,Abdellatif Mohamed Ahmed MOHAMED,Miloslav Yuriev METODIEV,03:06,0,To go behind,0,Arm drag,1,,Sebine,Completed
46,952252,Miloslav Yuriev METODIEV,Abdellatif Mohamed Ahmed MOHAMED,03:05,1,Protection zone,1,From passivity,0,,Sebine,Completed
47,952252,Abdellatif Mohamed Ahmed MOHAMED,Miloslav Yuriev METODIEV,02:09,1,Passivity,1,From passivity,0,,Sebine,Completed
48,952252,Abdellatif Mohamed Ahmed MOHAMED,Miloslav Yuriev METODIEV,01:39,0,To go behind,0,Arm drag,1,,Sebine,Completed
49,952252,Abdellatif Mohamed Ahmed MOHAMED,Miloslav Yuriev METODIEV,01:27,2,To go behind,1,To go behind,0,,Sebine,Completed
50,952252,Abdellatif Mohamed Ahmed MOHAMED,Miloslav Yuriev METODIEV,00:31,1,Protection zone,1,From passivity,0,,Sebine,Completed
51,952252,Abdellatif Mohamed Ahmed MOHAMED,Miloslav Yuriev METODIEV,00:08,1,Protection zone,1,From passivity,0,,Sebine,Completed
52,952246,Murat RAMONOV,Abdellatif Mohamed Ahmed MOHAMED,05:26,2,Takedown,1,Whizzer throw,0,,Sebine,Completed
53,952246,Murat RAMONOV,Abdellatif Mohamed Ahmed MOHAMED,04:33,4,Takedown,1,Headlock throw,0,,Sebine,Completed
54,952246,Murat RAMONOV,Abdellatif Mohamed Ahmed MOHAMED,03:50,1,Protection zone,1,From passivity,0,,Sebine,Completed
55,952246,Murat RAMONOV,Abdellatif Mohamed Ahmed MOHAMED,03:32,2,Takedown,1,Hip toss throw,0,,Sebine,Completed
56,953475,Abdellatif Mohamed Ahmed MOHAMED,Reagan Mbo MABUBA,05:27,0,Takedown,0,Lateral drop throw,1,,Sebine,Completed
57,953475,Abdellatif Mohamed Ahmed MOHAMED,Reagan Mbo MABUBA,05:22,4,Takedown,1,Headlock throw,0,,Sebine,Completed
58,953475,Abdellatif Mohamed Ahmed MOHAMED,Reagan Mbo MABUBA,05:03,0,To go behind,0,To go behind,1,,Sebine,Completed
59,953475,Abdellatif Mohamed Ahmed MOHAMED,Reagan Mbo MABUBA,04:55,4,Takedown,1,Reverse lift,0,,Sebine,Completed
60,953481,Abdellatif Mohamed Ahmed MOHAMED,Mohamed Fadhel BLAGHJI,05:17,4,Takedown,1,Lateral drop throw,0,,Sebine,Completed
61,953482,Abdellatif Mohamed Ahmed MOHAMED,Hichem KOUCHIT,05:38,2,To go behind,1,To go behind,0,,Sebine,Completed
62,953482,Abdellatif Mohamed Ahmed MOHAMED,Hichem KOUCHIT,05:25,4,Takedown,1,Bodylock,0,,Sebine,Completed
63,953482,Abdellatif Mohamed Ahmed MOHAMED,Hichem KOUCHIT,05:20,0,Roll,0,Roll from parter,1,,Sebine,Completed
64,953482,Abdellatif Mohamed Ahmed MOHAMED,Hichem KOUCHIT,05:18,2,Penalty,1,Penalty,0,,Sebine,Completed
65,957081,Abdellatif Mohamed Ahmed MOHAMED,Di XIAO,05:32,1,Protection zone,1,From passivity,0,,Sebine,Completed
66,957081,Abdellatif Mohamed Ahmed MOHAMED,Di XIAO,05:10,2,To go behind,1,To go behind,0,,Sebine,Completed
67,957081,Abdellatif Mohamed Ahmed MOHAMED,Di XIAO,04:28,1,Passivity,1,From passivity,0,,Sebine,Completed
68,957081,Abdellatif Mohamed Ahmed MOHAMED,Di XIAO,04:10,0,To go behind,0,Arm drag,1,,Sebine,Completed
69,957081,Abdellatif Mohamed Ahmed MOHAMED,Di XIAO,03:59,1,Protection zone,1,From passivity,0,,Sebine,Completed
70,957081,Abdellatif Mohamed Ahmed MOHAMED,Di XIAO,03:43,1,Protection zone,1,From passivity,0,,Sebine,Completed
71,957081,Abdellatif Mohamed Ahmed MOHAMED,Di XIAO,03:11,0,Takedown,1,Bodylock,0,,Sebine,Completed
72,957081,Abdellatif Mohamed Ahmed MOHAMED,Di XIAO,03:10,2,Penalty,1,Penalty,0,,Sebine,Completed
73,957075,Abdellatif Mohamed Ahmed MOHAMED,Lingzhe MENG,05:40,0,To go behind,0,Arm drag,1,,Sebine,Completed
74,957075,Abdellatif Mohamed Ahmed MOHAMED,Lingzhe MENG,05:27,0,Takedown,0,Lateral drop throw,1,,Sebine,Completed
75,957075,Abdellatif Mohamed Ahmed MOHAMED,Lingzhe MENG,05:26,1,Protection zone,1,From passivity,0,,Sebine,Completed
76,957075,Abdellatif Mohamed Ahmed MOHAMED,Lingzhe MENG,04:45,1,Passivity,1,From passivity,0,,Sebine,Completed
77,957075,Lingzhe MENG,Abdellatif Mohamed Ahmed MOHAMED,03:43,0,Takedown,0,Takedown,1,1.0,Sebine,Completed
78,957075,Abdellatif Mohamed Ahmed MOHAMED,Lingzhe MENG,03:42,4,Takedown,1,Takedown,0,,Sebine,Completed
79,957075,Lingzhe MENG,Abdellatif Mohamed Ahmed MOHAMED,02:23,0,Takedown,0,Headlock throw,1,,Sebine,Completed
80,957075,Abdellatif Mohamed Ahmed MOHAMED,Lingzhe MENG,01:28,0,Takedown,0,Whizzer throw,1,,Sebine,Completed
81,957075,Lingzhe MENG,Abdellatif Mohamed Ahmed MOHAMED,01:26,0,Takedown,0,Lateral drop throw,1,,Sebine,Completed
82,957075,Lingzhe MENG,Abdellatif Mohamed Ahmed MOHAMED,01:25,1,Challange,1,Flag,0,1.0,Sebine,Completed
83,957075,Lingzhe MENG,Abdellatif Mohamed Ahmed MOHAMED,00:03,0,Takedown,0,Headlock throw,1,,Sebine,Completed
84,957072,Abdellatif Mohamed Ahmed MOHAMED,Oleg Kahaberovitch AGAKHANOV,05:36,0,Takedown,0,Front headlock throw,1,,Sebine,Completed
85,957072,Oleg Kahaberovitch AGAKHANOV,Abdellatif Mohamed Ahmed MOHAMED,05:34,2,To go behind,1,To go behind,0,,Sebine,Completed
86,957072,Oleg Kahaberovitch AGAKHANOV,Abdellatif Mohamed Ahmed MOHAMED,05:18,0,Takedown,0,Front headlock throw,1,,Sebine,Completed
87,957072,Abdellatif Mohamed Ahmed MOHAMED,Oleg Kahaberovitch AGAKHANOV,04:43,1,Protection zone,1,From passivity,0,,Sebine,Completed
88,957072,Oleg Kahaberovitch AGAKHANOV,Abdellatif Mohamed Ahmed MOHAMED,04:21,4,Takedown,1,Double overhook throw,0,,Sebine,Completed
89,957072,Abdellatif Mohamed Ahmed MOHAMED,Oleg Kahaberovitch AGAKHANOV,03:42,1,Protection zone,1,From passivity,0,,Sebine,Completed
90,957072,Oleg Kahaberovitch AGAKHANOV,Abdellatif Mohamed Ahmed MOHAMED,03:27,1,Protection zone,1,From passivity,0,,Sebine,Completed
91,957072,Oleg Kahaberovitch AGAKHANOV,Abdellatif Mohamed Ahmed MOHAMED,02:43,1,Protection zone,1,From passivity,0,,Sebine,Completed
92,957072,Abdellatif Mohamed Ahmed MOHAMED,Oleg Kahaberovitch AGAKHANOV,01:48,0,Takedown,0,Lateral drop throw,1,,Sebine,Completed
93,957066,Osman YILDIRIM,Abdellatif Mohamed Ahmed MOHAMED,04:56,1,Passivity,1,From passivity,0,,Sebine,Completed
94,957066,Osman YILDIRIM,Abdellatif Mohamed Ahmed MOHAMED,04:48,2,Roll,1,Roll from parter,0,,Sebine,Completed
95,957066,Osman YILDIRIM,Abdellatif Mohamed Ahmed MOHAMED,04:38,2,Roll,1,Roll from parter,0,,Sebine,Completed
96,957066,Osman YILDIRIM,Abdellatif Mohamed Ahmed MOHAMED,04:34,2,Roll,1,Roll from parter,0,,Sebine,Completed
97,957066,Osman YILDIRIM,Abdellatif Mohamed Ahmed MOHAMED,04:30,2,Roll,1,Roll from parter,0,,Sebine,Completed
98,959531,Abdellatif Mohamed Ahmed MOHAMED,Konsta Johannes MAEENPAEAE,04:59,4,Takedown,1,Lateral drop throw,0,,Sebine,Completed
99,959531,Konsta Johannes MAEENPAEAE,Abdellatif Mohamed Ahmed MOHAMED,04:07,0,Takedown,0,Front headlock throw,1,,Sebine,Completed
100,959531,Abdellatif Mohamed Ahmed MOHAMED,Konsta Johannes MAEENPAEAE,04:06,2,To go behind,1,To go behind,0,,Sebine,Completed
101,959531,Konsta Johannes MAEENPAEAE,Abdellatif Mohamed Ahmed MOHAMED,02:39,2,Takedown,1,Bodylock,0,,Sebine,Completed
102,959531,Abdellatif Mohamed Ahmed MOHAMED,Konsta Johannes MAEENPAEAE,00:52,0,Takedown,0,Bodylock,1,,Sebine,Completed
103,959531,Abdellatif Mohamed Ahmed MOHAMED,Konsta Johannes MAEENPAEAE,00:51,2,To go behind,1,To go behind,0,,Sebine,Completed
104,959528,Muminjon ABDULLAEV,Abdellatif Mohamed Ahmed MOHAMED,05:49,0,Takedown,0,Arm throw,1,,Sebine,Completed
105,959528,Abdellatif Mohamed Ahmed MOHAMED,Muminjon ABDULLAEV,05:47,0,To go behind,0,To go behind,1,,Sebine,Completed
106,959528,Muminjon ABDULLAEV,Abdellatif Mohamed Ahmed MOHAMED,04:29,1,Passivity,1,From passivity,0,,Sebine,Completed
107,959528,Muminjon ABDULLAEV,Abdellatif Mohamed Ahmed MOHAMED,04:18,2,Roll,1,Roll from parter,0,,Sebine,Completed
108,959528,Muminjon ABDULLAEV,Abdellatif Mohamed Ahmed MOHAMED,02:40,0,Takedown,0,Lateral drop throw,1,,Sebine,Completed
109,959528,Muminjon ABDULLAEV,Abdellatif Mohamed Ahmed MOHAMED,02:39,1,Protection zone,1,From passivity,0,,Sebine,Completed
110,959528,Muminjon ABDULLAEV,Abdellatif Mohamed Ahmed MOHAMED,02:26,0,Takedown,0,Bodylock,1,,Sebine,Completed
